id,time,geometry
3,2018-07-06 12:14:25+00:00,POINT (11.921434 50.312399)
3,2018-07-06 12:14:33+00:00,POINT (11.921434 50.312399)
3,2018-07-06 12:14:48+00:00,POINT (11.921434 50.312399)
3,2018-07-06 12:14:53+00:00,POINT (11.92126 50.312392)
3,2018-07-06 12:14:56+00:00,POINT (11.921076 50.312466)
3,2018-07-06 12:15:02+00:00,POINT (11.920684 50.312628)
3,2018-07-06 12:15:03+00:00,POINT (11.920684 50.312628)
3,2018-07-06 12:15:07+00:00,POINT (11.920315 50.312748)
3,2018-07-06 12:15:13+00:00,POINT (11.919871 50.312929)
3,2018-07-06 12:15:18+00:00,POINT (11.919672 50.313164)
3,2018-07-06 12:15:18+00:00,POINT (11.919547 50.313332)
3,2018-07-06 12:15:21+00:00,POINT (11.919365 50.313542)
3,2018-07-06 12:15:26+00:00,POINT (11.919197 50.31381)
3,2018-07-06 12:15:29+00:00,POINT (11.9191 50.313906)
3,2018-07-06 12:15:33+00:00,POINT (11.9191 50.313906)
3,2018-07-06 12:15:48+00:00,POINT (11.9191 50.313906)
3,2018-07-06 12:15:57+00:00,POINT (11.918985 50.314)
3,2018-07-06 12:16:02+00:00,POINT (11.918444 50.313874)
3,2018-07-06 12:16:03+00:00,POINT (11.918444 50.313874)
3,2018-07-06 12:16:12+00:00,POINT (11.917319 50.31354)
3,2018-07-06 12:16:18+00:00,POINT (11.916546 50.313422)
3,2018-07-06 12:16:18+00:00,POINT (11.916987 50.313477)
3,2018-07-06 12:16:22+00:00,POINT (11.915968 50.313458)
3,2018-07-06 12:16:28+00:00,POINT (11.915605 50.313561)
3,2018-07-06 12:16:33+00:00,POINT (11.915502 50.313832)
3,2018-07-06 12:16:33+00:00,POINT (11.915539 50.313715)
3,2018-07-06 12:16:36+00:00,POINT (11.915347 50.313906)
3,2018-07-06 12:16:41+00:00,POINT (11.914761 50.313892)
3,2018-07-06 12:16:46+00:00,POINT (11.914055 50.313849)
3,2018-07-06 12:16:48+00:00,POINT (11.914055 50.313849)
3,2018-07-06 12:16:52+00:00,POINT (11.91321 50.313835)
3,2018-07-06 12:16:57+00:00,POINT (11.912573 50.313787)
3,2018-07-06 12:16:59+00:00,POINT (11.912329 50.313828)
3,2018-07-06 12:17:03+00:00,POINT (11.912329 50.313828)
3,2018-07-06 12:17:18+00:00,POINT (11.912329 50.313828)
3,2018-07-06 12:17:28+00:00,POINT (11.912049 50.313846)
3,2018-07-06 12:17:32+00:00,POINT (11.911213 50.313983)
3,2018-07-06 12:17:35+00:00,POINT (11.910806 50.314036)
3,2018-07-06 12:17:41+00:00,POINT (11.910746 50.314219)
3,2018-07-06 12:17:47+00:00,POINT (11.910994 50.314773)
3,2018-07-06 12:17:48+00:00,POINT (11.910994 50.314773)
3,2018-07-06 12:17:52+00:00,POINT (11.910737 50.315062)
3,2018-07-06 12:17:58+00:00,POINT (11.909644 50.315235)
3,2018-07-06 12:18:03+00:00,POINT (11.909644 50.315494)
3,2018-07-06 12:18:03+00:00,POINT (11.909529 50.315301)
3,2018-07-06 12:18:13+00:00,POINT (11.910156 50.316535)
3,2018-07-06 12:18:16+00:00,POINT (11.910305 50.316897)
3,2018-07-06 12:18:18+00:00,POINT (11.910305 50.316897)
